,x,y,Celltype,Celltype_asNumeric,Epithelium,Epithelium_asNumeric,CD4,CD4_asNumeric
2975,328.25,282.25,Epithelium,1,Positive,1,0.5457,0.5457
2976,541.25,283.75,Epithelium,1,Positive,1,1.170463,1.170463
2977,294.5,284.25,Epithelium,1,Positive,1,0.498833,0.498833
2978,410.75,283.75,Epithelium,1,Positive,1,0.522356,0.522356
2979,491.25,283.25,Epithelium,1,Positive,1,0.455419,0.455419
2980,563.25,284.0,Epithelium,1,Positive,1,0.982922,0.982922
2981,270.25,285.0,Epithelium,1,Positive,1,0.655645,0.655645
2982,435.5,285.0,Epithelium,1,Positive,1,0.829198,0.829198
2983,610.25,285.5,Epithelium,1,Positive,1,0.965112,0.965112
2984,618.5,286.5,Epithelium,1,Positive,1,0.703465,0.703465
2985,281.0,285.5,Epithelium,1,Positive,1,0.459734,0.459734
2986,505.25,286.25,Epithelium,1,Positive,1,0.525342,0.525342
2987,365.5,287.0,Epithelium,1,Positive,1,0.471572,0.471572
2988,320.5,289.75,Epithelium,1,Positive,1,0.637689,0.637689
2989,596.0,290.5,Epithelium,1,Positive,1,0.543765,0.543765
2990,635.75,287.75,Epithelium,1,Positive,1,0.660103,0.660103
2991,327.5,292.5,Epithelium,1,Positive,1,0.444501,0.444501
2992,585.75,291.5,Epithelium,1,Positive,1,0.436274,0.436274
2993,448.75,289.0,Epithelium,1,Positive,1,0.405555,0.405555
2994,570.5,288.5,Epithelium,1,Positive,1,0.416643,0.416643
2995,298.0,293.75,Epithelium,1,Positive,1,0.428557,0.428557
2996,310.25,289.0,Epithelium,1,Positive,1,0.392312,0.392312
2997,386.75,288.75,Epithelium,1,Positive,1,0.854595,0.854595
2998,565.75,294.0,Epithelium,1,Positive,1,0.513257,0.513257
2999,628.0,293.5,Epithelium,1,Positive,1,0.810578,0.810578
3000,641.5,292.5,Epithelium,1,Positive,1,0.66674,0.66674
3001,278.75,298.0,Epithelium,1,Positive,1,0.563169,0.563169
3002,613.75,293.25,Epithelium,1,Positive,1,0.780223,0.780223
3003,656.5,295.75,Epithelium,1,Positive,1,0.521106,0.521106
3004,423.75,296.25,Epithelium,1,Positive,1,0.645512,0.645512
3005,536.0,297.0,Epithelium,1,Positive,1,0.835814,0.835814
3006,554.75,297.5,Epithelium,1,Positive,1,0.870724,0.870724
3007,357.25,295.25,Epithelium,1,Positive,1,0.460833,0.460833
3008,383.75,295.75,Epithelium,1,Positive,1,0.559481,0.559481
3009,400.5,298.5,Epithelium,1,Positive,1,0.548008,0.548008
3010,501.75,298.75,Epithelium,1,Positive,1,0.401542,0.401542
3011,521.75,298.25,Epithelium,1,Positive,1,0.511256,0.511256
3012,270.75,298.0,Epithelium,1,Positive,1,0.44239,0.44239
3013,636.0,297.5,Epithelium,1,Positive,1,0.660883,0.660883
3014,647.25,297.25,Epithelium,1,Positive,1,0.567307,0.567307
3015,342.0,298.75,Epithelium,1,Positive,1,0.535426,0.535426
3016,621.0,298.0,Epithelium,1,Positive,1,0.794234,0.794234
3017,311.25,299.25,Epithelium,1,Positive,1,0.344065,0.344065
3018,412.25,300.25,Epithelium,1,Positive,1,0.536359,0.536359
3019,638.0,302.5,Epithelium,1,Positive,1,0.580401,0.580401
3020,260.0,303.75,Epithelium,1,Positive,1,0.590452,0.590452
3021,448.5,302.0,Epithelium,1,Positive,1,0.185827,0.185827
3022,610.75,302.5,Epithelium,1,Positive,1,0.957524,0.957524
3023,629.25,307.0,Epithelium,1,Positive,1,0.938657,0.938657
3024,592.75,304.5,Epithelium,1,Positive,1,0.442036,0.442036
3025,647.75,306.0,Epithelium,1,Positive,1,0.56091,0.56091
3026,303.75,305.5,Epithelium,1,Positive,1,0.53766,0.53766
3027,364.25,306.75,Epithelium,1,Positive,1,0.473516,0.473516
3028,394.25,307.5,Epithelium,1,Positive,1,0.728039,0.728039
3029,564.25,306.25,Epithelium,1,Positive,1,0.67443,0.67443
3030,349.0,306.75,Epithelium,1,Positive,1,0.731488,0.731488
3031,525.75,311.0,Epithelium,1,Positive,1,0.495663,0.495663
3032,619.25,309.75,Epithelium,1,Positive,1,1.460318,1.460318
3033,386.0,307.25,Epithelium,1,Positive,1,0.482047,0.482047
3034,403.25,311.25,Epithelium,1,Positive,1,0.484568,0.484568
3035,599.5,309.5,Epithelium,1,Positive,1,0.648741,0.648741
3036,584.5,310.75,Epithelium,1,Positive,1,0.420025,0.420025
3037,314.75,310.25,Epithelium,1,Positive,1,0.371028,0.371028
3038,273.25,310.75,Epithelium,1,Positive,1,0.633848,0.633848
3039,418.0,311.25,Epithelium,1,Positive,1,0.424126,0.424126
3040,637.25,311.75,Epithelium,1,Positive,1,0.651673,0.651673
3041,509.75,313.75,Epithelium,1,Positive,1,0.398975,0.398975
3042,434.5,314.5,Epithelium,1,Positive,1,0.521251,0.521251
3043,556.0,313.0,Epithelium,1,Positive,1,0.646639,0.646639
3044,608.25,313.75,Epithelium,1,Positive,1,1.098799,1.098799
3045,305.5,315.25,Epithelium,1,Positive,1,0.522084,0.522084
3046,377.75,312.25,Epithelium,1,Positive,1,0.475649,0.475649
3047,537.0,315.25,Epithelium,1,Positive,1,0.46938,0.46938
3048,574.5,314.25,Epithelium,1,Positive,1,0.485341,0.485341
3049,652.25,313.0,Epithelium,1,Positive,1,0.599647,0.599647
3050,262.5,314.0,Epithelium,1,Positive,1,0.631823,0.631823
3051,421.75,313.75,Epithelium,1,Positive,1,0.4452,0.4452
3052,567.25,313.5,Epithelium,1,Positive,1,0.522797,0.522797
3053,360.25,317.75,Epithelium,1,Positive,1,0.418427,0.418427
3054,488.25,316.0,Epithelium,1,Positive,1,0.334099,0.334099
3055,514.0,317.5,Epithelium,1,Positive,1,0.37935,0.37935
3056,326.0,315.75,Epithelium,1,Positive,1,0.480167,0.480167
3057,429.0,318.5,Epithelium,1,Positive,1,0.33673,0.33673
3058,315.25,320.0,Epithelium,1,Positive,1,0.40887,0.40887
3059,497.0,321.0,Epithelium,1,Positive,1,0.388855,0.388855
3060,564.25,321.0,Epithelium,1,Positive,1,0.531613,0.531613
3061,634.0,321.5,Epithelium,1,Positive,1,0.658562,0.658562
3062,371.0,319.5,Epithelium,1,Positive,1,0.332526,0.332526
3063,549.75,319.25,Epithelium,1,Positive,1,0.682147,0.682147
3064,422.0,323.5,Epithelium,1,Positive,1,0.427274,0.427274
3065,599.25,321.25,Epithelium,1,Positive,1,0.838489,0.838489
3066,620.25,322.75,Epithelium,1,Positive,1,0.783493,0.783493
3067,654.75,323.25,Epithelium,1,Positive,1,0.587443,0.587443
3068,264.0,322.5,Epithelium,1,Positive,1,0.777997,0.777997
3069,285.0,323.0,Epithelium,1,Positive,1,0.454393,0.454393
3070,381.25,321.5,Epithelium,1,Positive,1,0.361473,0.361473
3071,303.25,324.75,Epithelium,1,Positive,1,0.400037,0.400037
3072,324.75,324.75,Epithelium,1,Positive,1,0.387802,0.387802
3073,340.75,324.25,Epithelium,1,Positive,1,0.601394,0.601394
3074,392.25,322.75,Epithelium,1,Positive,1,0.546188,0.546188
3075,581.75,326.0,Epithelium,1,Positive,1,0.489251,0.489251
3076,607.5,325.5,Epithelium,1,Positive,1,0.695815,0.695815
3077,573.5,325.0,Epithelium,1,Positive,1,0.613815,0.613815
3078,351.0,325.5,Epithelium,1,Positive,1,0.965694,0.965694
3079,387.5,325.0,Epithelium,1,Positive,1,0.358954,0.358954
3080,537.75,326.0,Epithelium,1,Positive,1,0.38618,0.38618
3081,369.75,330.0,Epithelium,1,Positive,1,0.405671,0.405671
3082,430.75,328.5,Epithelium,1,Positive,1,0.344041,0.344041
3083,517.5,328.75,Epithelium,1,Positive,1,0.349975,0.349975
3084,508.25,330.0,Epithelium,1,Positive,1,0.380957,0.380957
3085,297.0,333.25,Epithelium,1,Positive,1,0.469683,0.469683
3086,358.75,328.5,Epithelium,1,Positive,1,0.684191,0.684191
3087,414.0,330.75,Epithelium,1,Positive,1,0.529065,0.529065
3088,533.25,330.5,Epithelium,1,Positive,1,0.493574,0.493574
3089,564.75,332.25,Epithelium,1,Positive,1,0.834125,0.834125
3090,481.5,331.5,Epithelium,1,Positive,1,0.352998,0.352998
3091,601.25,333.0,Epithelium,1,Positive,1,0.787478,0.787478
3092,318.5,333.75,Epithelium,1,Positive,1,0.429375,0.429375
3093,496.5,337.5,Epithelium,1,Positive,1,0.345338,0.345338
3094,381.5,332.5,Epithelium,1,Positive,1,0.515478,0.515478
3095,441.0,332.75,Epithelium,1,Positive,1,0.324588,0.324588
3096,544.0,333.75,Epithelium,1,Positive,1,0.469578,0.469578
3097,652.0,335.5,Epithelium,1,Positive,1,0.702481,0.702481
3098,426.0,334.5,Epithelium,1,Positive,1,0.600003,0.600003
3099,613.25,337.0,Epithelium,1,Positive,1,0.71151,0.71151
3100,263.75,333.0,Epithelium,1,Positive,1,0.646623,0.646623
3101,272.75,334.0,Epithelium,1,Positive,1,0.520485,0.520485
3102,285.5,335.75,Epithelium,1,Positive,1,0.469197,0.469197
3103,362.75,339.0,Epithelium,1,Positive,1,0.474126,0.474126
3104,397.25,336.75,Epithelium,1,Positive,1,0.417531,0.417531
3105,417.75,336.75,Epithelium,1,Positive,1,0.44073,0.44073
3106,431.75,336.75,Epithelium,1,Positive,1,0.523655,0.523655
3107,627.0,337.5,Epithelium,1,Positive,1,0.749572,0.749572
3108,580.0,336.0,Epithelium,1,Positive,1,0.454652,0.454652
3109,517.5,340.0,Epithelium,1,Positive,1,0.531193,0.531193
3110,260.5,340.0,Epithelium,1,Positive,1,0.576178,0.576178
3111,577.0,341.25,Epithelium,1,Positive,1,0.594181,0.594181
3112,642.5,339.0,Epithelium,1,Positive,1,0.638104,0.638104
3113,505.75,341.5,Epithelium,1,Positive,1,0.355068,0.355068
3114,530.75,338.5,Epithelium,1,Positive,1,0.550297,0.550297
3115,605.25,343.5,Epithelium,1,Positive,1,0.71556,0.71556
3116,545.75,342.0,Epithelium,1,Positive,1,0.479054,0.479054
3117,333.5,343.75,Epithelium,1,Positive,1,1.597145,1.597145
3118,385.5,343.5,Epithelium,1,Positive,1,0.288097,0.288097
3119,437.5,342.5,Epithelium,1,Positive,1,0.351337,0.351337
3120,474.75,344.5,Epithelium,1,Positive,1,0.268739,0.268739
3121,374.5,343.0,Epithelium,1,Positive,1,0.229795,0.229795
3122,557.75,342.0,Epithelium,1,Positive,1,0.308809,0.308809
3123,314.0,347.75,Epithelium,1,Positive,1,0.490614,0.490614
3124,282.25,344.75,Epithelium,1,Positive,1,0.803455,0.803455
3125,411.25,343.0,Epithelium,1,Positive,1,0.433067,0.433067
3126,529.75,346.5,Epithelium,1,Positive,1,0.619645,0.619645
3127,594.0,345.75,Epithelium,1,Positive,1,0.586961,0.586961
3128,625.5,350.75,Epithelium,1,Positive,1,0.793644,0.793644
3129,639.25,347.75,Epithelium,1,Positive,1,0.611626,0.611626
3130,398.5,346.25,Epithelium,1,Positive,1,0.699091,0.699091
3131,356.25,345.25,Epithelium,1,Positive,1,0.363251,0.363251
3132,289.25,349.0,Epithelium,1,Positive,1,1.206132,1.206132
3133,445.25,351.0,Epithelium,1,Positive,1,0.423262,0.423262
3134,609.25,348.5,Epithelium,1,Positive,1,0.738355,0.738355
3135,347.5,352.5,Epithelium,1,Positive,1,0.473467,0.473467
3136,269.25,348.25,Epithelium,1,Positive,1,0.491503,0.491503
3137,298.25,350.0,Epithelium,1,Positive,1,0.910793,0.910793
3138,482.5,350.75,Epithelium,1,Positive,1,0.302148,0.302148
3139,549.25,349.25,Epithelium,1,Positive,1,0.567272,0.567272
3140,502.5,352.75,Epithelium,1,Positive,1,0.447488,0.447488
3141,514.75,351.5,Epithelium,1,Positive,1,0.747467,0.747467
3142,617.0,349.0,Epithelium,1,Positive,1,1.104002,1.104002
3143,325.75,354.0,Epithelium,1,Positive,1,0.498549,0.498549
3144,355.75,353.5,Epithelium,1,Positive,1,0.416296,0.416296
3145,594.75,354.0,Epithelium,1,Positive,1,0.72338,0.72338
3146,305.5,352.0,Epithelium,1,Positive,1,1.78052,1.78052
3147,275.0,357.25,Epithelium,1,Positive,1,0.425944,0.425944
3148,398.25,356.25,Epithelium,1,Positive,1,0.510637,0.510637
3149,459.0,354.5,Epithelium,1,Positive,1,0.40334,0.40334
3150,545.0,353.75,Epithelium,1,Positive,1,0.652096,0.652096
3151,554.75,352.0,Epithelium,1,Positive,1,0.797224,0.797224
3152,614.0,356.0,Epithelium,1,Positive,1,0.570902,0.570902
3153,657.25,356.5,Epithelium,1,Positive,1,0.909359,0.909359
3154,336.25,359.5,Epithelium,1,Positive,1,0.454175,0.454175
3155,635.0,357.0,Epithelium,1,Positive,1,0.763155,0.763155
3156,434.25,355.5,Epithelium,1,Positive,1,0.451175,0.451175
3157,601.75,356.5,Epithelium,1,Positive,1,0.689015,0.689015
3158,495.75,355.75,Epithelium,1,Positive,1,0.38469,0.38469
3159,468.75,362.25,Epithelium,1,Positive,1,0.259193,0.259193
3160,521.5,357.75,Epithelium,1,Positive,1,0.788185,0.788185
3161,540.75,359.0,Epithelium,1,Positive,1,1.192227,1.192227
3162,530.0,359.25,Epithelium,1,Positive,1,0.768211,0.768211
3163,553.5,362.25,Epithelium,1,Positive,1,0.640328,0.640328
3164,480.5,361.0,Epithelium,1,Positive,1,0.358467,0.358467
3165,289.5,358.5,Epithelium,1,Positive,1,0.59606,0.59606
3166,512.25,363.25,Epithelium,1,Positive,1,0.628474,0.628474
3167,577.0,361.75,Epithelium,1,Positive,1,0.87212,0.87212
3168,305.0,360.75,Epithelium,1,Positive,1,0.61125,0.61125
3169,377.25,362.5,Epithelium,1,Positive,1,0.252013,0.252013
3170,498.5,366.0,Epithelium,1,Positive,1,0.47935,0.47935
3171,385.75,361.25,Epithelium,1,Positive,1,0.28444,0.28444
3172,435.5,362.75,Epithelium,1,Positive,1,0.472618,0.472618
3173,485.25,364.5,Epithelium,1,Positive,1,0.313033,0.313033
3174,404.5,363.75,Epithelium,1,Positive,1,0.589463,0.589463
3175,413.75,364.5,Epithelium,1,Positive,1,0.417572,0.417572
3176,289.5,365.25,Epithelium,1,Positive,1,0.685964,0.685964
3177,324.0,367.5,Epithelium,1,Positive,1,0.624781,0.624781
3178,522.25,366.0,Epithelium,1,Positive,1,0.458678,0.458678
3179,264.25,368.75,Epithelium,1,Positive,1,0.94423,0.94423
3180,458.0,368.25,Epithelium,1,Positive,1,0.401688,0.401688
3181,307.75,368.25,Epithelium,1,Positive,1,0.540558,0.540558
3182,301.25,371.75,Epithelium,1,Positive,1,0.567373,0.567373
3183,437.0,370.0,Epithelium,1,Positive,1,0.638502,0.638502
3184,539.0,369.5,Epithelium,1,Positive,1,0.541556,0.541556
3185,384.25,370.0,Epithelium,1,Positive,1,0.241264,0.241264
3186,449.0,370.0,Epithelium,1,Positive,1,0.721973,0.721973
3187,344.25,369.5,Epithelium,1,Positive,1,0.59343,0.59343
3188,550.75,370.75,Epithelium,1,Positive,1,0.493412,0.493412
3189,270.0,371.0,Epithelium,1,Positive,1,1.08691,1.08691
3190,399.25,371.0,Epithelium,1,Positive,1,0.385742,0.385742
3191,529.0,373.75,Epithelium,1,Positive,1,0.437383,0.437383
3192,292.0,373.75,Epithelium,1,Positive,1,0.336375,0.336375
3193,388.5,375.5,Epithelium,1,Positive,1,0.325968,0.325968
3194,484.0,375.25,Epithelium,1,Positive,1,0.406763,0.406763
3195,336.0,374.5,Epithelium,1,Positive,1,0.313384,0.313384
3196,517.75,376.25,Epithelium,1,Positive,1,0.391374,0.391374
3197,559.0,375.75,Epithelium,1,Positive,1,0.513693,0.513693
3198,543.25,377.25,Epithelium,1,Positive,1,0.518665,0.518665
3199,395.75,378.75,Epithelium,1,Positive,1,0.398938,0.398938
